id;marcaAutoclave;modeloAutoclave;volumeTotCamaraLt;volumeUtilCamaraLt;medTotTempoCicloATMin;tempoCargaDescargaMin;tempoClicloCarDescMin;tempoTestDiarioBDMin;tempoDiarioAquecimentoMaqMin;tempoDisponivelDiarioMin;numMaxCiclosDia;aproveitamentoCamaraPorcent;numAutoclaves;numAutoclavesUmaEmManutencao;preco
1;1;A1;102;81;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
2;1;A2;145;96;53,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
3;1;A3;200;144;53,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
4;1;A4;255;192;53,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
5;1;A5;322;216;56,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
6;1;A6;444;324;56,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
7;1;A7;566;432;56,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
8;1;A8;704;540;58,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
9;1;A9;878;628;55,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
10;2;B1;110;85;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
11;2;B2;200;150;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
12;2;B3;263;135;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
13;2;B4;370;324;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
14;2;B5;418;370;55,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
15;2;B6;542;432;55,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
16;2;B7;716;574;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
17;2;B8;891;846;80,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
18;3;C1;100;100;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
19;3;C2;205;205;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
20;3;C3;300;300;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
21;3;C4;333;330;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
22;3;C5;474;470;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
23;3;C6;614;609;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
24;3;C7;755;748;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
25;3;C8;910;902;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
26;4;D1;167;133.6;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
27;4;D2;252;201.6;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
28;4;D3;285;216;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
29;4;D4;321;256.8;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
30;4;D5;445;324;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
31;4;D6;578;432;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
32;4;D7;773;540;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
33;4;D8;892;648;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
34;5;E1;304;108;40,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
35;5;E2;364;216;40,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
36;5;E3;436;324;45,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
37;5;E4;523;432;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
38;5;E5;741;540;55,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
39;5;E6;109;108;40,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
40;5;E7;250;162;40,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
41;5;E8;575;324;50,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
42;5;E9;767;432;55,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
43;5;E10;959;540;60,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
44;5;E11;449;324;45,0 minutos;10,0 minutos;0;30,0 minutos;20,0 minutos;0;0.0;0.0;3;0;0
45;5;E12;587;432;50,0 minutos;10,0 minutos;0;30,0 minutos;12,0 minutos;0;0.0;0.0;3;0;0
46;5;E13;725;540;59,0 minutos;10,0 minutos;0;30,0 minutos;5,0 minutos;0;0.0;0.0;3;0;0
47;6;F1;449;324;47,0 minutos;10,0 minutos;0;30,0 minutos;10,0 minutos;0;0.0;0.0;3;0;0
48;6;F2;584;432;52,0 minutos;10,0 minutos;0;30,0 minutos;10,0 minutos;0;0.0;0.0;3;0;0
49;6;F3;764;540;57,0 minutos;10,0 minutos;0;30,0 minutos;10,0 minutos;0;0.0;0.0;3;0;0
50;6;F4;899;648;62,0 minutos;10,0 minutos;0;30,0 minutos;10,0 minutos;0;0.0;0.0;3;0;0
